점검일자,연월,지사,사업장,점검자,직급,점검유형,Area/공정,위험분류,위험요소원본,심각도원본,심각도점수,지적내용_평문,조치유형,조치활동분류,조치내용_평문,완료여부,지적내용,조치내용
2026-07-06,2026-07,삼천포지사,GGP,INSPECTOR_14,사원,지사 주관,삼천포지사_ GGP,추락,추락,개선필요 [중],2.0,추락 위험이 있는 갱웨이 타워 난간부 추락주의 표지 미부착,즉시처리,설치·구조물,갱웨이 타워 난간 추락주의 표지 부착,완료,추락 위험이 있는 갱웨이 타워 난간부 추락주의 표지 미부착,갱웨이 타워 난간 추락주의 표지 부착
2026-07-06,2026-07,목포지사,대불부두,INSPECTOR_20,EHS팀 선임,지사 주관,목포지사_ 대불부두,기타,기타,개선필요 [중],2.0,"와이어 매듭 부 근로자 손가락 베임, 긁힘, 찰과상 위험요소 존재",즉시처리,기타,와이어 매듭부 고무튜브 열처리하여 근로자 열상 방지조치,완료,"[대불부두]
와이어 매듭 부 근로자 손가락 베임, 긁힘, 찰과상 위험요소 존재","[대불부두]
와이어 매듭부 고무튜브 열처리하여 근로자 열상 방지조치"
2026-07-03,2026-07,강원지사,동해,INSPECTOR_02,EHS팀 사원,지사 주관,강원지사_ 동해,온열·온도,온도ㆍ습도,개선필요 [하],1.0,휴게실 내 식염정 복용방법 등 주의사항의 게시 필요 → 식염정 복용방법 등 주의사항 게시,즉시처리,교육·지도,식염정 복용방법 등 주의사항 게시완료,완료,휴게실 내 식염정 복용방법 등 주의사항의 게시 필요 → 식염정 복용방법 등 주의사항 게시,식염정 복용방법 등 주의사항 게시완료
2026-07-03,2026-07,당진지사,당진지사,INSPECTOR_09,EHS팀 선임,지사 주관,당진지사,관리적미흡,관리적 미흡,개선필요 [중],2.0,- 2부두 구조용 케이지 상부 낙탄 청소 필요,,미분류,,진행(조치 전),- 2부두 구조용 케이지 상부 낙탄 청소 필요,
2026-07-03,2026-07,목포지사,대불부두,INSPECTOR_20,EHS팀 선임,지사 주관,목포지사_ 대불부두,충돌,충돌,개선필요 [상],3.0,선측 파이프 권상 중 낙하 시 그늘막 셋팅장소 비래 우려(충분한 거리 확보 필요),즉시처리,설치·구조물,그늘막 설치 장소 파이프 권상 구간과 충분한 안전거리 확보 조치,완료,"[대불부두]
선측 파이프 권상 중 낙하 시 그늘막 셋팅장소 비래 우려(충분한 거리 확보 필요)","[대불부두]
그늘막 설치 장소 파이프 권상 구간과 충분한 안전거리 확보 조치"
2026-07-03,2026-07,당진지사,당진지사,INSPECTOR_01,EHS팀 주임,지사 주관,당진지사,관리적미흡,관리적 미흡,개선필요 [하],1.0,"- 유연탄 3부두 승,하선기 출입문 임의 고정",즉시처리,기타,"- 즉시조치 완료 및 내용전달 완료,",완료,"- 유연탄 3부두 승,하선기 출입문 임의 고정","- 즉시조치 완료 및 내용전달 완료,"
2026-07-03,2026-07,당진지사,당진지사,INSPECTOR_01,EHS팀 주임,지사 주관,당진지사,관리적미흡,관리적 미흡,개선필요 [하],1.0,- 유연탄 2부두 야간작업시 사무실 주변 조도 확보 불량으로 안전사고 위험 - 현장점검간 근로자 의견청취건으로 현장확인 진행 완료,즉시처리,설치·구조물,- 정비팀 문의하여 사무실 상부 라이트 설치 진행 완료,완료,"- 유연탄 2부두 야간작업시 사무실 주변 조도 확보 불량으로 안전사고 위험
- 현장점검간 근로자 의견청취건으로 현장확인 진행 완료",- 정비팀 문의하여 사무실 상부 라이트 설치 진행 완료
2026-07-03,2026-07,부산지사,우암,INSPECTOR_10,EHS팀 책임,지사 주관,부산지사_ 우암,전도,전도,개선필요 [중],2.0,-. 작업 후 휴식중 주변 구름성 위험이 있는 화물에 앉아서 쉬는 행위,,미분류,,진행(조치 전),-. 작업 후 휴식중 주변 구름성 위험이 있는 화물에 앉아서 쉬는 행위 ,
2026-07-03,2026-07,전북지사,전주 동산역,INSPECTOR_11,EHS팀 선임,지사 주관,전북지사_ 전주 동산역,온열·온도,온도ㆍ습도,개선필요 [하],1.0,혹서기 대비 온열질환 현수막 게시 필요,즉시처리,기타,현수막 게시 완료,완료,혹서기 대비 온열질환 현수막 게시 필요,현수막 게시 완료
2026-07-02,2026-07,당진지사,당진지사,INSPECTOR_01,EHS팀 주임,지사 주관,당진지사,관리적미흡,관리적 미흡,개선필요 [하],1.0,- 작업용 차량 정차간 기어 변경 불량,즉시처리,기타,- 즉시조치 및 해당부두 내용 전달 완료,완료,- 작업용 차량 정차간 기어 변경 불량,- 즉시조치 및 해당부두 내용 전달 완료
2026-07-02,2026-07,당진지사,당진지사,INSPECTOR_01,EHS팀 주임,지사 주관,당진지사,관리적미흡,관리적 미흡,개선필요 [하],1.0,- 안전표지판 분진에 의한 식별 불량,즉시처리,점검·확인,- 안전표지판 청소 요청 후 진행상황 확인 완료,완료,- 안전표지판 분진에 의한 식별 불량,- 안전표지판 청소 요청 후 진행상황 확인 완료
2026-07-02,2026-07,전북지사,군산항역,INSPECTOR_11,EHS팀 선임,지사 주관,전북지사_ 군산항역,온열·온도,온도ㆍ습도,개선필요 [하],1.0,혹서기 대비 온열질환 현수막 게시 필요,즉시처리,기타,온열질환 현수막 게시 완료,완료,혹서기 대비 온열질환 현수막 게시 필요,온열질환 현수막 게시 완료
2026-07-02,2026-07,경남지사,마산항,INSPECTOR_15,EHS팀 책임,지사 주관,경남지사_ 마산항,온열·온도,온도ㆍ습도,개선필요 [하],1.0,1층 정비고 내 온습도계는 비치되어 있음. 간헐적으로 정비고 내 업무수행을 함에 있어서 혹서기에 체감온도를 확인 할수 있도록 체감온도 계산을위한 측정표를 비치할것.,즉시처리,점검·확인,체감온도 확인을 위한 측정표 및 체감온도계 비치 완료.,완료,"1층 정비고 내 온습도계는 비치되어 있음.
간헐적으로 정비고 내 업무수행을 함에 있어서 혹서기에 체감온도를 확인 할수 있도록 체감온도 계산을위한 측정표를 비치할것.",체감온도 확인을 위한 측정표 및 체감온도계 비치 완료.
2026-07-01,2026-07,전북지사,군산항 부두,INSPECTOR_05,EHS팀 책임,지사 주관,전북지사_ 군산항 부두,화재·폭발,화재,개선필요 [하],1.0,5부두 운영되는 지게차 내 소화기 노후화 및 압력 부족으로 교체 필요,즉시처리,설치·구조물,지게차 내 노후된 소화기 새것으로 교체 완료,완료,"[군산항 5부두]
5부두 운영되는 지게차 내 소화기 노후화 및 압력 부족으로 교체 필요",지게차 내 노후된 소화기 새것으로 교체 완료
2026-06-30,2026-06,당진지사,당진지사,INSPECTOR_01,EHS팀 주임,지사 주관,당진지사,감전,감전,개선필요 [하],1.0,- 1부두 항운노조 대기실 노출형 분전반으로 감전사고 위험,즉시처리,설치·구조물,- 분전반 교체 진행,완료,- 1부두 항운노조 대기실 노출형 분전반으로 감전사고 위험,- 분전반 교체 진행
2026-06-30,2026-06,부산지사,감천,INSPECTOR_10,EHS팀 책임,지사 주관,부산지사_ 감천,전도,전도,개선필요 [중],2.0,휴게실 입구 미끄럼방지 미조치로인한 넘어짐 위험,즉시처리,기타,미끄럼방지 테이프 부착으로 미끄럼 방지 예방 조치,진행(조치 후),휴게실 입구 미끄럼방지 미조치로인한 넘어짐 위험,미끄럼방지 테이프 부착으로 미끄럼 방지 예방 조치
2026-06-26,2026-06,당진지사,당진지사,INSPECTOR_01,EHS팀 주임,지사 주관,당진지사,낙하·비래·붕괴,낙하ㆍ붕괴,개선필요 [중],2.0,- 유연탄 3부두 이동식 운전원실 HOOK 해지장치 2EA 파손,즉시처리,설치·구조물,-후크해지장치 교체진행 완료,완료,- 유연탄 3부두 이동식 운전원실 HOOK 해지장치 2EA 파손,-후크해지장치 교체진행 완료
2026-06-26,2026-06,부산지사,감천,INSPECTOR_17,EHS팀 선임,지사 주관,부산지사_ 감천,전도,전도,개선필요 [중],2.0,야드 노면 파손으로 인한 지게차 작업 시 전도 위험 → 노면 아스콘 보수 필요,즉시처리,설치·구조물,아스콘으로 노면 보수 후 철판으로 파손되지 않도록 조치 완료,완료,야드 노면 파손으로 인한 지게차 작업 시 전도 위험 → 노면 아스콘 보수 필요,아스콘으로 노면 보수 후 철판으로 파손되지 않도록 조치 완료
2026-06-26,2026-06,전북지사,완주복합물류센터,INSPECTOR_11,EHS팀 선임,지사 주관,전북지사_ 완주복합물류센터,온열·온도,온도ㆍ습도,개선필요 [하],1.0,- 근로자 휴게실 온열질환 대비 포도당 비치 필요,즉시처리,기타,-포도당 비치 완료,완료,"[물류운영팀_완주복합물류센터]
- 근로자 휴게실 온열질환 대비 포도당 비치 필요",-포도당 비치 완료
2026-06-25,2026-06,목포지사,대불부두,INSPECTOR_20,EHS팀 선임,지사 주관,목포지사_ 대불부두,기타,기타,개선필요 [상],3.0,"목포지사 운영건물 출입구 환경개선 필요(거미줄, 날파리, 이물질 등 존재)",즉시처리,제거·차단,"프레임 틀 거미줄, 유리 오염물질, 천장(텍스)날파리 사체 등 제거 완료",완료,"[대불부두]
목포지사 운영건물 출입구 환경개선 필요(거미줄, 날파리, 이물질 등 존재)","[대불부두]
프레임 틀 거미줄, 유리 오염물질, 천장(텍스)날파리 사체 등 제거 완료"
2026-06-25,2026-06,부산지사,우암,INSPECTOR_17,EHS팀 선임,지사 주관,부산지사_ 우암,추락,추락,개선필요 [상],3.0,작업 전 대기중인 화물차량 운전원 안전모 미착용으로 사고 위험 → 안전모 착용 조치 필요,즉시처리,보호구지급,화물차량 운전자 즉시 안전모 착용 조치 완료,완료,작업 전 대기중인 화물차량 운전원 안전모 미착용으로 사고 위험 → 안전모 착용 조치 필요,화물차량 운전자 즉시 안전모 착용 조치 완료
2026-06-25,2026-06,부산지사,우암,INSPECTOR_17,EHS팀 선임,지사 주관,부산지사_ 우암,추락,추락,개선필요 [상],3.0,우암센터 입구 및 작업장 내 안전모 착용 표지 추가 부착 필요 → PE방호벽에 안전표지 부착 예정,,미분류,,진행(조치 전),우암센터 입구 및 작업장 내 안전모 착용 표지 추가 부착 필요 → PE방호벽에 안전표지 부착 예정,
2026-06-25,2026-06,강원지사,안인,INSPECTOR_19,EHS팀 선임,지사 주관,강원지사_ 안인,관리적미흡,관리적 미흡,개선필요 [상],3.0,"간이운전실 인양방법 개선 필요 인양 시 하중받는 부위의 변형(휨) 발생으로 인한 인양물 탈락 위험 인양하중을 충분히 견딜 수 있는 구조로 인양방법을 변경하고, 전용 인양지점(Lug) 설치 등 구조적 개선 실시",즉시처리,설치·구조물,전용 인양지점(Lug) 설치 완료,완료,"<지적사항>
간이운전실 인양방법 개선 필요
<위험요인>
인양 시 하중받는 부위의 변형(휨) 발생으로 인한 인양물 탈락 위험
<조치요청>
인양하중을 충분히 견딜 수 있는 구조로 인양방법을 변경하고, 전용 인양지점(Lug) 설치 등 구조적 개선 실시",전용 인양지점(Lug) 설치 완료
2026-06-24,2026-06,목포지사,대불부두,INSPECTOR_20,EHS팀 선임,지사 주관,목포지사_ 대불부두,끼임·협착,끼임ㆍ협착,개선필요 [상],3.0,"F/D 하부 출입통제 게시판, PP로프 설치하였으나 육안식별 저조",즉시처리,기타,Safe line 변경(접근금지 글씨 기재),완료,"[대불부두]
F/D 하부 출입통제 게시판, PP로프 설치하였으나 육안식별 저조","[대불부두]
Safe line 변경(접근금지 글씨 기재)"
2026-06-24,2026-06,부산지사,우암,INSPECTOR_17,EHS팀 선임,지사 주관,부산지사_ 우암,전도,전도,개선필요 [상],3.0,야드 노면 파손으로 지게차 및 화물차량 운행 시 전도 위험 → 아스코 활용하여 야드 노면 보수 필요,,미분류,,진행(조치 전),야드 노면 파손으로 지게차 및 화물차량 운행 시 전도 위험 → 아스코 활용하여 야드 노면 보수 필요,
